,A,B,Ratio
1080,Bachelor of Arts (Psychology double major),Psychology,100
1081,Bachelor of Arts (Psychology in Society),Psychology,100
1082,Bachelor of Arts (Psychology),Psychology,100
1083,Bachelor of Arts (Screen and Media Studies),Media,100
1084,Bachelor of Arts (Sociology),Sociology,100
1085,Bachelor of Arts / Bachelor of Advanced Studies(Media and communications),Communications,100
1086,Bachelor of Arts / Bachelor of Advanced Studies(Media and communications),Media,100
1087,Bachelor of Arts and Bachelor of  Advanced Studies (Media and Communications),Communications,100
1088,Bachelor of Arts and Bachelor of  Advanced Studies (Media and Communications),Media,100
1089,Bachelor of Arts and Bachelor of Advanced Studies (International and Global Studies),Global,100
1090,Bachelor of Arts and Bachelor of Advanced Studies (Media & Communications),Communications,100
1091,Bachelor of Arts and Bachelor of Advanced Studies (Media & Communications),Media,100
1092,Bachelor of Arts and Bachelor of Advanced Studies (Media and Communications),Communications,100
1093,Bachelor of Arts and Bachelor of Advanced Studies (Media and Communications),Media,100
1094,Bachelor of Arts and Bachelor of Advanced Studies (Politics and International Relations),Politics,100
1095,Bachelor of Arts and Science,Science,100
1096,Bachelor of Arts in Global Tourism Management,Global,100
1097,Bachelor of Arts in Global Tourism Management,Management,100
1098,Bachelor of Arts in Global Tourism Management (BAGTM),Global,100
1099,Bachelor of Arts in Global Tourism Management (BAGTM),Management,100
