,A,B,Ratio
5278,MSc Cancer Cell Biology,Biology,100
5279,"MSc Chemical & Process Engineering, Advanced",Engineering ,100
5280,MSc Chemistry,Biochemistry,72
5281,MSc Chemistry,Chemistry,100
5282,MSc Cities and Global Development,Global,100
5283,MSc Civil Engineering,Engineering ,100
5284,MSc Civil Engineering ,Engineering ,100
5285,MSc Civil Engineering and Management,Engineering ,100
5286,MSc Civil Engineering and Management,Management,100
5287,MSc Civil Engineering H1KB09,Engineering ,100
5288,MSc Civil Engineering with Industrial Placement,Engineering ,100
5289,MSc Civil Engineering with Industrial Placement,Industrial,100
5290,MSc Civil Engineering with Industry,Engineering ,100
5291,MSc Clinical Pharmacy,Pharmacy,100
5292,MSc Cognitive and Computational Neuroscience,Neuroscience,100
5293,MSc Cognitive Neuroscience,Neuroscience,100
5294,MSc Communication Systems (by research),Systems,100
5295,MSc Computer Science,Science,100
5296,MSc Computer Science (by research),Science,100
5297,MSc Computer Science with Speech and  Language Processing,Science,100
5298,MSc Computer Science with Speech and  Language Processing,Speech,100
5299,MSc Computer Science with Speech and Language Processing,Science,100
5300,MSc Computer Science with Speech and Language Processing,Speech,100
5301,MSc Computing and Information Systems,Computing,100
5302,MSc Computing and Information Systems,Information,100
5303,MSc Computing and Information Systems,Systems,100
5304,MSc Computing with Digital Media,Computing,100
5305,MSc Computing with Digital Media,Digital,100
5306,MSc Computing with Digital Media,Media,100
5307,MSc Construction Project Management,Management,100
5308,MSc Corporate and Financial Risk Management,Management,100
5309,MSc Creative & Cultural Industries Management,Management,100
5310,MSc Creative and Cultural Industries  Management,Management,100
5311,MSc Creative and Cultural Industries Management,Management,100
5312,MSc Creative and Cultural Industries Management ,Management,100
5313,MSc Criminal Justice & Penal Change,Justice,100
5314,MSc Criminal Justice and Social Research Methods,Justice,100
5315,MSc Data Analytics,Analytics,100
5316,MSc Data Analytics,Data,100
5317,MSc Data Science,Data,100
5318,MSc Data Science,Science,100
5319,MSc Data Science ,Data,100
5320,MSc Data Science ,Science,100
5321,MSc Development Economics,Economics,100
5322,MSc Development Psychology in Research and Practice,Psychology,100
5323,MSc Developmental Disorders,Disorders,100
5324,MSc Developmental Psychology,Psychology,100
5325,MSc Developmental Psychology in Research and Practice,Psychology,100
5326,MSc Developmental Psychopathology,Psychopathology,100
5327,MSc Developmental Psychopathology C8K009,Psychopathology,100
5328,MSc Digital Architecture and Design,Architecture,100
5329,MSc Digital Architecture and Design,Design,100
5330,MSc Digital Architecture and Design,Digital,100
5331,MSc Digital Architecture and Design ,Architecture,100
5332,MSc Digital Architecture and Design ,Design,100
5333,MSc Digital Architecture and Design ,Digital,100
5334,MSc Digital Marketing,Digital,100
5335,MSc Digital Marketing,Marketing,100
5336,MSc Digital Marketing and Channel Management,Digital,100
5337,MSc Digital Marketing and Channel Management,Management,100
5338,MSc Digital Marketing and Channel Management,Marketing,100
5339,MSc Digital Marketing and Channel Management (with Placement Year),Digital,100
5340,MSc Digital Marketing and Channel Management (with Placement Year),Management,100
5341,MSc Digital Marketing and Channel Management (with Placement Year),Marketing,100
5342,MSc Digital Marketing Management,Digital,100
5343,MSc Digital Marketing Management,Management,100
5344,MSc Digital Marketing Management,Marketing,100
